#category,NBA Players
#primary,Name
#field,Championships,optional
#field,Seasons Played,optional
#field,Points,optional
#field,Assists,optional
#field,Rebounds,optional
#field,MVP Awards,optional
#field,All-Star Selections,optional
#field,Finals Appearances,optional
Name,Championships,Seasons Played,Points,Assists,Rebounds,MVP Awards,All-Star Selections,Finals Appearances
J.R. Smith,,,,,,,,
Jameer Nelson,,,,,,,,
James Harden,0,17,29309,8938,6838,0,11,1
James Worthy,3,12,16320,3468,5361,0,7,3
Jarrett Allen,,,,,,,,
Jarrett Jack,,,,,,,,
Jason Kidd,1,19,17529,12091,7888,0,10,3
Jaylen Brown,,,,,,,,
Jayson Tatum,,,,,,,,
Jerry Lucas,1,11,12146,3966,12890,1,10,1
Jerry West,1,14,25192,6238,5376,0,14,9
Joakim Noah,,,,,,,,
Joel Embiid,,,,,,,,
John Havlicek,8,16,26395,6114,8007,0,13,8
John Stockton,0,19,19711,15806,4351,0,10,2
John Wall,,,,,,,,
Jrue Holiday,,,,,,,,
Julius Erving,1,11,18364,3254,5601,1,11,5
Kareem Abdul-Jabbar,6,20,38387,5660,17440,6,19,8
Karl Anthony-Towns,1,,,,,,,1
Karl Malone,0,19,36928,5248,14968,2,14,2
Kawhi Leonard,2,13,16546,3502,4621,0,7,2
Kevin Durant,2,18,32597,5280,8416,1,13,5
Kevin Garnett,1,21,26071,5445,14662,1,15,2
Kevin McHale,3,13,17335,1670,7122,0,7,3
Khris Middleton,,,,,,,,
Klay Thompson,,,,,,,,
Kobe Bryant,5,20,33643,6306,7047,1,18,6
Kurt Thomas,,,,,,,,
Kwame Brown,,,,,,,,
Kyle Korver,,,,,,,,
Kyle Lowry,,,,,,,,
Kyrie Irving,,,,,,,,
LaMelo Ball,,,,,,,,
Larry Bird,3,13,21791,5695,8974,3,12,5
LeBron James,4,22,43440,12016,10452,4,19,10
Lenny Wilkens,1,15,17338,7211,3155,0,7,1
Lonzo Ball,,,,,,,,
Lou Williams,0,,,,,,,
Luka Doncic,,,,,,,,
Luke Walton,,,,,,,,
Magic Johnson,5,12,17707,10141,6559,3,12,8
Marc Gasol,,,,,,,,
Matt Bonner,,,,,,,,
Michael Jordan,6,15,32292,5633,6672,5,13,6
Michael Redd,,,,,,,,
Mike Bibby,,,,,,,,
Mike Miller,,,,,,,,
Mo Williams,,,,,,,,
Monta Ellis,,,,,,,,
Moses Malone,0,19,29580,1860,17834,3,12,4
Nate Archibald,1,14,16841,6476,2046,0,7,1
Nate Thurmond,0,14,14437,2575,14464,0,7,0
Nikola Jokic,,,,,,,,
Nikola Jovic,,,,,,,,
Nikola Vucevic,,,,,,,,
Oscar Robertson,1,14,26710,9887,7804,1,12,1
P.J. Tucker,,,,,,,,
Patrick Ewing,0,17,24815,2973,13769,0,11,2
Pau Gasol,,,,,,,,
Paul Arizin,0,10,16266,1858,6129,0,10,1
Paul George,,,,,,,,
Paul Pierce,1,19,26397,3643,6651,0,10,4
Pete Maravich,0,10,15948,3563,2747,0,5,0
Raja Bell,,,,,,,,
Rajon Rondo,,,,,,,,
Rashard Lewis,,,,,,,,
Ray Allen,2,18,24505,4268,5369,0,10,4
Reggie Miller,0,18,25279,3956,2562,0,5,0
Richard Hamilton,,,,,,,,
Rick Barry,1,14,25279,4017,6363,0,12,5
Robert Parish,4,21,23334,2317,14462,0,9,0
Robin Lopez,,,,,,,,
Russell Westbrook,0,18,27673,10135,8926,1,9,1
Sam Jones,10,12,10844,2149,4616,0,5,10
Scott Brooks,,,,,,,,
Scottie Barnes,,,,,,,,
Scottie Pippen,6,17,18940,6135,7494,0,8,6
Shannon Brown,,,,,,,,
Shaquille O'Neal,4,19,28596,3026,13099,4,15,6
Shawn Kemp,,,,,,,,
Stephen Curry,4,17,26528,6743,3637,2,9,5
Steve Kerr,,,,,,,,
Steve Nash,0,18,14743,10335,2438,2,8,0
Tim Duncan,5,17,26496,4225,15091,2,15,6
Tiny Archibald,1,14,16841,6476,2046,0,7,1
Tony Parker,,,,,,,,
Tracy McGrady,,,,,,,,
Tyler Herro,,,,,,,,
Vince Carter,,,,,,,,
Walker Kessler,,,,,,,,
Walt Frazier,2,13,15581,5040,4830,0,7,2
Wes Unseld,1,14,10624,5340,13769,1,5,3
Willis Reed,2,10,12183,1186,8387,0,7,2
Wilt Chamberlain,2,14,31419,4643,23924,4,13,5
Yao Ming,,,,,,,,
Zion Williamson,,,,,,,,
